"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15734","Проверка: что после заказа растёт счётчик за всё время","tests","2026-09-24","passed","2026-09-24","TestFeed","test_feed","",""
"","8078","Окно с деталями закрывается по крестику","tests","2026-09-24","passed","2026-09-24","TestMain","test_main","",""
"","7431","Проверка: перехода по клику на Конструктор","tests","2026-09-24","passed","2026-09-24","TestMain","test_main","",""
"","9283","Проверка: перехода по клику на Лента заказов","tests","2026-09-24","passed","2026-09-24","TestMain","test_main","",""
"","7865","При добавлении ингредиента в заказ счётчик увеличивается","tests","2026-09-24","passed","2026-09-24","TestMain","test_main","",""
"","5653","Проверка: перехода по клику на Конструктор","tests","2026-09-24","passed","2026-09-24","TestMain","test_main","",""
"","17867","Проверка: что после заказа растёт счётчик за всё время","tests","2026-09-24","passed","2026-09-24","TestFeed","test_feed","",""
"","6306","При добавлении ингредиента в заказ счётчик увеличивается","tests","2026-09-24","passed","2026-09-24","TestMain","test_main","",""
"","18953","Проверка: что после заказа растёт счётчик за сегодня","tests","2026-09-24","passed","2026-09-24","TestFeed","test_feed","",""
"","22497","Проверка:что номер заказа появляется в разделе В работе","tests","2026-09-24","passed","2026-09-24","TestFeed","test_feed","",""
"","8145","По клику на ингредиент открывается окно с деталями","tests","2026-09-24","passed","2026-09-24","TestMain","test_main","",""
"","8176","Окно с деталями закрывается по крестику","tests","2026-09-24","passed","2026-09-24","TestMain","test_main","",""
"","19742","Проверка: что после заказа растёт счётчик за сегодня","tests","2026-09-24","passed","2026-09-24","TestFeed","test_feed","",""
"","7374","По клику на ингредиент открывается окно с деталями","tests","2026-09-24","passed","2026-09-24","TestMain","test_main","",""
"","8848","Проверка: перехода по клику на Лента заказов","tests","2026-09-24","passed","2026-09-24","TestMain","test_main","",""
"","13745","Проверка:что номер заказа появляется в разделе В работе","tests","2026-09-24","passed","2026-09-24","TestFeed","test_feed","",""
